date,mpp_time,mpp_voltage_V,mpp_current_A,mpp_power_W,daily_energy_Wh,daytime_points
2025-08-14,2025-08-14T15:04:00,20.802,0.12165000000000001,2.53125,4.238229166666666,125
2025-08-15,2025-08-15T10:59:00,20.867,0.12217499999999999,2.54875,7.261859374999999,251
2025-08-16,2025-08-16T14:45:00,21.177500000000002,0.121975,2.5825,11.135630208333334,321
2025-08-17,2025-08-17T11:10:00,21.313000000000002,0.12355,2.6325,16.746578125,473
2025-08-18,2025-08-18T09:30:00,21.118,0.121875,2.573125,13.180703125,440
2025-08-19,2025-08-19T09:39:00,20.912,0.12154999999999999,2.541875,4.19021875,161
